#----------------,--------------------,---------------------,---------,---------,----------
#  NAME          ,  RAJ               ,  DECJ               ,   DIST  , AGE     , EDOT
#                ,  (hms)             ,  (dms)              ,   (kpc) , (Yr)    , (ergs/s)
#----------------,--------------------,---------------------,---------,---------,----------
   B1317-53      ,  13:20:53.921      ,  -53:59:05.00       ,   2.204 , 4.79e+05, 1.7e+34
   J1326-4728A   ,  13:26:39.670      ,  -47:30:11.64       ,   5.200 , 2.41e+09, 1.5e+34
   J1327-6400    ,  13:27:10.27       ,  -64:00:13.1        ,   12.991, 1.43e+05, 5.6e+34
   B1338-62      ,  13:41:42.63       ,  -62:20:20.7        ,   12.599, 1.21e+04, 1.4e+36
   J1342+2822B   ,  13:42:11.0871     ,  +28:22:40.141      ,   10.200, 2.04e+09, 5.4e+34
   J1349-6130    ,  13:49:36.62       ,  -61:30:17.12       ,   5.480 , 8.03e+05, 1.2e+34
   J1357-6429    ,  13:57:02.43       ,  -64:29:30.2        ,   3.100 , 7.31e+03, 3.1e+36
   B1356-60      ,  13:59:58.248      ,  -60:38:07.55       ,   5.000 , 3.19e+05, 1.2e+35
   J1400-6325    ,  14:00:45.69       ,  -63:25:42.6        ,   7.000 , 1.27e+04, 5.1e+37
   J1406-6121    ,  14:06:50.04       ,  -61:21:27.9        ,   7.292 , 6.17e+04, 2.2e+35
   J1410-6132    ,  14:10:23.591      ,  -61:32:08.15       ,   13.510, 2.48e+04, 1.0e+37
   J1412-6145    ,  14:12:07.63       ,  -61:45:28.48       ,   7.097 , 5.04e+04, 1.2e+35
   J1413-6141    ,  14:13:09.87       ,  -61:41:13          ,   8.469 , 1.36e+04, 5.6e+35
   J1413-6205    ,  14:13:29.9        ,  -62:05:38          ,   2.150 , 6.28e+04, 8.3e+35
   J1418-6058    ,  14:18:42.7        ,  -60:57:49          ,   1.885 , 1.03e+04, 4.9e+36
   J1420-6048    ,  14:20:08.237      ,  -60:48:16.43       ,   5.632 , 1.3e+04 , 1.0e+37
   J1429-5911    ,  14:29:58.6        ,  -59:11:36.6        ,   1.955 , 6.02e+04, 7.7e+35
   J1430-5712    ,  14:30:16.17       ,  -57:12:31.4        ,   3.902 , 1.66e+05, 1.6e+34
   J1431-4715    ,  14:31:44.6177     ,  -47:15:27.574      ,   1.562 , 2.26e+09, 6.8e+34
